order_id,customer_id,product_id,store_id,order_date,quantity,unit_price
ORD0006934,CUST00662,PROD00104,STORE022,2025-05-11,6,2144.49
ORD0004241,CUST01334,PROD00088,STORE008,2026-01-10,4,8476.09
ORD0000130,CUST01223,PROD00202,STORE018,2025-12-09,1,8769.65
ORD0000793,CUST00063,PROD00171,STORE012,2025-09-07,1,7803.98
ORD0010232,CUST00933,PROD00208,STORE025,2025-07-07,3,14463.83
ORD0003336,CUST01169,PROD00041,STORE003,2026-02-22,1,18429.97
ORD0004070,CUST00168,PROD00007,STORE022,2026-03-30,2,15559.59
ORD0010766,CUST01133,PROD00047,STORE003,2026-01-29,4,17008.44
ORD0007834,CUST00930,PROD00066,STORE008,2025-04-11,5,1641.71
ORD0008746,CUST00385,PROD00276,STORE021,2025-10-21,5,8081.93
ORD0008114,CUST00340,PROD00218,STORE009,2025-09-13,4,23942.07
ORD0009953,CUST00749,PROD00212,STORE006,2025-06-04,5,5521.73
ORD0005916,CUST01349,PROD00267,STORE017,2025-02-21,3,4789.53
ORD0007127,CUST00659,PROD00014,STORE010,2025-09-26,6,8969.14
ORD0010444,CUST01298,PROD00295,STORE021,2025-11-19,5,11113.48
ORD0000840,CUST01325,PROD00126,STORE016,2026-04-22,1,2621.58
ORD0003538,CUST00653,PROD00232,STORE009,2025-07-13,6,15783.52
ORD0007777,,PROD00080,STORE022,2026-02-04,6,19114.38
ORD0010772,CUST01406,PROD00198,STORE018,2026-02-03,2,15383.84
ORD0008782,CUST00699,PROD00228,STORE003,2025-04-01,5,11456.56
ORD0011584,CUST00646,PROD00270,STORE003,2025-08-25,6,19623.89
ORD0009010,CUST00035,PROD00150,STORE013,2025-09-30,2,7902.21
ORD0004400,CUST01006,PROD00127,STORE023,2025-10-22,3,10548.9
ORD0012283,CUST00134,PROD00274,STORE017,2025-12-09,5,466.47
ORD0002316,CUST00342,PROD00296,STORE004,2025-06-07,1,19460.21
ORD0005476,CUST00577,PROD00045,STORE017,2025-08-03,6,7638.84
ORD0004260,CUST00341,PROD00205,STORE024,2025-06-20,6,700.06
ORD0005076,CUST01039,PROD00060,STORE006,2026-01-07,4,18169.64
ORD0000084,CUST00970,PROD00280,STORE004,2025-11-10,1,9332.92
ORD0009098,CUST00111,,STORE007,2026-01-07,2,4086.81
ORD0005017,CUST00097,PROD00147,STORE022,2026-01-22,3,5719.6
ORD0009988,CUST00109,PROD00138,STORE022,2025-07-03,2,18472.39
ORD0009381,CUST00840,PROD00127,STORE018,2026-03-05,2,4652.02
ORD0009216,CUST00302,PROD00137,STORE010,2025-12-30,2,16180.74
ORD0001546,CUST00696,PROD00122,STORE016,2025-12-25,5,19174.86
ORD0008837,CUST00754,PROD00102,STORE015,2025-01-19,1,12384.72
ORD0000240,CUST00374,PROD00250,STORE001,2025-09-18,3,22350.17
ORD0001567,CUST00084,PROD00082,STORE019,2025-04-22,6,23901.3
ORD0006210,CUST00891,PROD00086,STORE006,2025-10-18,4,1505.78
ORD0000306,CUST00544,PROD00165,STORE001,2026-04-01,1,8389.81
ORD0007493,CUST00547,PROD00088,STORE010,2026-01-02,3,19029.26
ORD0001171,CUST00867,PROD00230,STORE021,2025-05-30,4,18026.12
ORD0011741,CUST00192,PROD00078,STORE016,2026-03-06,4,743.91
ORD0005632,CUST00251,PROD00179,STORE010,2025-06-16,5,2134.14
ORD0005361,CUST01369,PROD00202,STORE009,2026-02-20,5,8888.35
ORD0009640,CUST00090,PROD00237,STORE020,2025-05-24,6,10110.25
ORD0006360,CUST01286,PROD00041,STORE010,2025-11-19,1,8825.5
ORD0003212,CUST00410,PROD00049,STORE006,2025-07-07,5,11605.81
ORD0003656,CUST00532,PROD00172,STORE015,2025-03-10,5,3965.2
ORD0001504,CUST00135,PROD00025,STORE001,2025-12-13,4,7302.96
ORD0008635,CUST00384,PROD00283,STORE010,2025-02-08,1,9111.37
ORD0003135,CUST00220,PROD00127,STORE009,2026-01-28,2,11863.81
ORD0000194,CUST00064,PROD00106,STORE019,2025-12-17,4,11560.94
ORD0004945,CUST00351,PROD00084,STORE012,2025-02-21,5,8420.35
ORD0005716,CUST01108,PROD00174,STORE008,2026-02-02,2,unknown
ORD0010732,CUST00208,PROD00037,STORE008,2025-12-30,6,14703.73
ORD0009093,CUST00152,PROD00175,STORE021,2025-11-27,1,abc
ORD0011671,CUST00940,PROD00037,STORE020,2025-04-11,1,14836.87
ORD0008805,CUST01394,,STORE022,2025-10-21,2,11604.58
ORD0000821,CUST00191,PROD00250,STORE011,2025-03-13,2,1194.33
ORD0010569,CUST01466,PROD00210,STORE024,2025-05-18,5,9411.88
ORD0007453,CUST00770,PROD00036,STORE009,2025-01-01,1,13862.9
ORD0009103,CUST00288,PROD00112,STORE008,2026-02-18,5,23302.58
ORD0000627,CUST00956,PROD00231,STORE025,2025-03-26,5,21565.73
ORD0009689,CUST00005,PROD00279,STORE003,2025-01-12,1,19585.09
ORD0010747,CUST00623,PROD00248,STORE006,2025-03-06,2,abc
ORD0008508,CUST01171,PROD00269,STORE010,2025-04-28,2,590.85
ORD0002591,CUST01309,PROD00115,STORE019,2026-03-31,3,16969.24
ORD0012443,CUST00270,PROD00163,STORE024,2025-02-10,5,14893.67
ORD0006597,CUST00812,PROD00071,STORE004,2025-12-05,1,14151.57
ORD0005745,CUST00427,PROD00246,STORE010,2025-07-27,3,15032.06
ORD0006178,CUST00662,PROD00246,STORE020,2025-11-30,5,12486.02
ORD0008460,CUST00066,PROD00267,STORE014,2026-03-08,6,11072.47
ORD0008333,CUST01062,PROD00073,STORE011,2025-01-26,3,15967.37
ORD0003162,,PROD00193,STORE002,2025-03-23,1,13705.48
ORD0004109,CUST00678,PROD00151,STORE009,2026-03-29,3,12891.12
ORD0005302,CUST01332,PROD00185,STORE003,2025-11-15,5,23933.35
ORD0009555,CUST00607,PROD00285,STORE025,2025-11-21,4,13139.43
ORD0001496,CUST00363,PROD00001,STORE003,2025-08-13,6,3510.54
ORD0002701,CUST00136,PROD00130,STORE012,2026-01-14,3,9542.57
ORD0004516,CUST00613,PROD00165,STORE023,2025-08-17,6,20720.72
ORD0010944,CUST00929,PROD00064,STORE021,2025-01-12,6,4202.63
ORD0002355,CUST00095,PROD00059,STORE016,2025-03-21,1,23432.36
ORD0002350,CUST00966,PROD00258,STORE001,2025-11-25,4,15905.34
ORD0011872,CUST00818,PROD00179,STORE003,2025-06-13,2,24893.24
ORD0003524,CUST00635,PROD00085,STORE016,2025-11-11,6,7847.44
ORD0005953,CUST01393,PROD00248,STORE016,2026-04-08,4,5435.0
ORD0008836,CUST00958,PROD00246,STORE012,2026-01-29,5,11599.86
ORD0011207,CUST01308,PROD00017,STORE025,2025-09-10,6,21318.84
ORD0007727,CUST00084,PROD00054,STORE012,2026-02-04,1,19557.99
ORD0007627,CUST00158,PROD00177,STORE022,2025-01-09,2,700.66
