product_id,product_name,category,unit_price
PROD00168,Coffee Maker Pro,Home & Kitchen,12247.6
PROD00139,Bedsheet Set Pro,Home & Kitchen,2868.24
PROD00070,Running Shoes Pro,Apparel,12421.39
PROD00119,Cotton T-Shirt Plus,Apparel,unknown
PROD00035,USB-C Charger Plus,Electronics,4266.48
PROD00137,Table Lamp Max,Home & Kitchen,8900.77
PROD00221,Graphic Novel Max,Books,
PROD00071,Wool Sweater Max,Apparel,-1
PROD00110,Wool Sweater Pro,Apparel,8896.13
PROD00027,Bluetooth Speaker Plus,Electronics,
,Bedsheet Set Pro,Home & Kitchen,2868.24
PROD00054,Wireless Mouse,Electronics,14089.82
PROD00106,Formal Shirt Max,Apparel,
,Children's Storybook Plus,Books,12878.34
PROD00109,Running Shoes,Apparel,860.37
,USB-C Charger Pro,Electronics,10047.92
PROD00061,Wool Sweater Pro,Apparel,N/A
PROD00251,Cricket Bat Plus,Sports,19033.75
PROD00002,Smartwatch Lite,Electronics,15916.41
PROD00212,Biography Plus,Books,-1
PROD00279,Yoga Mat Plus,Sports,Rs.21830.2
,Smartwatch Max,Electronics,3113.59
PROD00173,Non-stick Pan Lite,Home & Kitchen,6398.12
PROD00118,Rain Jacket Max,Apparel,12416.36
,USB-C Charger Pro,Electronics,22380.93
PROD00125,Vacuum Cleaner Lite,Home & Kitchen,20628.11
,Children's Storybook Plus,Books,12878.34
PROD00223,Cookbook Plus,Books,20490.97
PROD00123,Air Fryer Max,Home & Kitchen,22082.62
,Bluetooth Speaker,Electronics,16542.71
PROD00185,Cookbook Plus,Books,17130.53
PROD00045,Bluetooth Speaker Max,Electronics,20254.66
PROD00187,Cookbook Pro,Books,7631.4
PROD00235,Self-Help Guide Plus,Books,376.63
,Children's Storybook Plus,Books,22685.19
PROD00015,Noise Cancelling Headphones Max,Electronics,2046.37
PROD00029,Wireless Mouse,Electronics,8811.55
PROD00195,Biography Plus,Books,2347.46
PROD00077,Denim Jacket Lite,Apparel,2337.22
PROD00189,Children's Storybook Max,Books,-1
PROD00241,Cricket Bat Lite,Sports,19656.28
PROD00083,Denim Jacket Pro,Apparel,14648.81
PROD00154,Coffee Maker Pro,Home & Kitchen,5276.74
PROD00073,Running Shoes Pro,Apparel,23451.94
PROD00065,Cotton T-Shirt,Apparel,Rs.22411.36
PROD00177,Air Fryer Plus,Home & Kitchen,24898.47
