store_id,store_name,city,region
STORE006,Bengaluru Store 6,Bengaluru,South
STORE016,Delhi Store 16,Delhi,North
STORE019,Jaipur Store 19,Jaipur,North
STORE009,Bhubaneswar Store 9,Bhubaneswar,East
STORE012,Delhi Store 12,Delhi,North
STORE020,Pune Store 20,Pune,West
STORE022,Ahmedabad Store 22,Ahmedabad,West
STORE010,Delhi Store 10,Delhi,North
STORE003,Ahmedabad Store 3,Ahmedabad,West
STORE022,Ahmedabad Store 22,Ahmedabad,West
STORE025,Jaipur Store 25,Jaipur,North
STORE015,Guwahati Store 15,Guwahati,East
STORE024,Guwahati Store 24,Guwahati,East
STORE025,Jaipur Store 25,Jaipur,North
STORE003,Ahmedabad Store 3,Ahmedabad,West
STORE013,Guwahati Store 13,Guwahati,East
STORE005,Delhi Store 5,Delhi,North
STORE008,Guwahati Store 8,Guwahati,East
STORE001,Ahmedabad Store 1,Ahmedabad,West
STORE011,Pune Store 11,Pune,West
STORE021,Kolkata Store 21,Kolkata,East
STORE018,Bengaluru Store 18,Bengaluru,South
STORE007,Kolkata Store 7,Kolkata,East
STORE011,Pune Store 11,Pune,West
STORE017,Pune Store 17,Pune,West
STORE023,Bhubaneswar Store 23,Bhubaneswar,East
STORE004,Kolkata Store 4,Kolkata,East
STORE014,Chennai Store 14,Chennai,South
STORE002,Hyderabad Store 2,Hyderabad,South
STORE023,Bhubaneswar Store 23,Bhubaneswar,East
