order_id,customer_id,product_id,store_id,order_date,quantity,unit_price
ORD0012794,CUST00463,PROD00227,STORE025,2026-04-23,1,22457.21
ORD0013924,CUST00144,PROD00049,STORE004,2026-04-23,1,20415.75
ORD0013922,CUST01399,PROD00109,STORE021,2026-04-23,4,20196.8
ORD0014114,CUST00648,PROD00063,STORE019,2026-04-23,2,12464.36
ORD0012903,CUST00645,PROD00144,STORE007,2026-04-23,4,22719.84
ORD0014286,CUST01500,PROD00288,STORE007,2026-04-23,4,19731.6
ORD0013587,CUST01040,PROD00128,STORE008,2026-04-23,5,22241.61
ORD0013606,CUST01165,PROD00202,STORE007,2026-04-23,2,233.1
ORD0014288,CUST00140,PROD00169,STORE021,2026-04-23,1,6993.63
ORD0013498,CUST01478,PROD00219,STORE001,2026-04-23,6,12299.74
ORD0014047,CUST00458,PROD00229,STORE005,2026-04-23,1,13279.88
ORD0012666,CUST00577,PROD00222,STORE006,2026-04-23,3,15607.87
ORD0013750,CUST00629,PROD00177,STORE015,2026-04-23,6,23868.11
ORD0013390,CUST01489,PROD00113,STORE023,2026-04-23,5,7573.36
ORD0013447,CUST01306,PROD00269,STORE003,2026-04-23,3,22691.88
ORD0013642,CUST01212,PROD00245,STORE009,2026-04-23,5,14836.48
ORD0012741,CUST01299,PROD00225,STORE024,2026-04-23,3,14397.71
ORD0013939,CUST01315,PROD00056,STORE008,2026-04-23,4,6550.7
ORD0013802,CUST00975,PROD00152,STORE002,2026-04-23,3,15808.68
ORD0013458,CUST00970,PROD00249,STORE006,2026-04-23,4,8203.84
ORD0013978,CUST01059,PROD00037,STORE020,2026-04-23,6,6266.69
ORD0012918,CUST00064,PROD00031,STORE003,2026-04-23,1,3565.89
ORD0012630,CUST00478,PROD00110,STORE010,2026-04-23,6,24912.38
ORD0012839,CUST00262,PROD00067,STORE016,2026-04-23,1,10825.4
ORD0014324,CUST00134,PROD00018,STORE023,2026-04-23,4,24930.05
ORD0012505,CUST00528,PROD00143,STORE002,2026-04-23,3,2673.21
ORD0013824,CUST01425,PROD00201,STORE003,2026-04-23,3,22135.21
ORD0013659,CUST00079,PROD00180,STORE016,2026-04-23,4,22593.77
ORD0013208,CUST00839,PROD00016,STORE005,2026-04-23,1,24524.26
ORD0013967,CUST00554,PROD00023,STORE002,2026-04-23,2,23792.31
ORD0013362,CUST00872,PROD00271,STORE019,2026-13-40,6,10128.99
ORD0013655,CUST00434,PROD00237,STORE015,2026-04-23,1,16794.79
ORD0013200,CUST01494,PROD00040,STORE013,2026-04-23,4,19971.29
ORD0014026,CUST00334,PROD00052,STORE007,2026-04-23,5,18427.04
ORD0012550,CUST00478,PROD00078,STORE017,2026-04-23,2,20919.6
ORD0013637,CUST00272,PROD00295,STORE009,2026-04-23,2,3822.15
ORD0012553,CUST00478,PROD00157,STORE019,2026-04-23,2,18396.38
ORD0014130,CUST00409,PROD00187,STORE006,2026-04-23,2,13132.35
ORD0013958,CUST00453,PROD00105,STORE021,2026-04-23,6,10022.07
ORD0014441,,PROD00297,STORE023,2026-04-23,3,22099.55
ORD0014177,CUST01179,PROD00052,STORE007,2026-04-23,2,4046.61
ORD0013162,,PROD00104,STORE009,2026-04-23,1,11341.85
ORD0014404,CUST01014,PROD00186,STORE014,2026-04-23,3,10050.35
ORD0013380,CUST01044,PROD00026,STORE021,2026-04-23,2,24294.67
ORD0012774,CUST00676,PROD00066,STORE018,2026-04-23,1,9050.1
ORD0012685,CUST00622,PROD00198,STORE006,2026-04-15,5,1408.15
ORD0013897,CUST00802,PROD00187,STORE001,2026-04-23,4,4239.98
ORD0014452,CUST00131,PROD00008,STORE003,2026-04-23,2,24676.58
ORD0013405,CUST00619,PROD00298,STORE016,2026-04-23,4,13555.53
ORD0014220,CUST00073,PROD00175,STORE020,2026-04-23,1,17980.31
ORD0014331,CUST01171,PROD00169,STORE011,2026-04-23,1,6722.44
ORD0012757,CUST00637,PROD00177,STORE004,2026-04-23,2,14720.92
ORD0014476,CUST01489,PROD00203,STORE008,2026-04-23,6,1910.49
ORD0012909,CUST00169,PROD00137,STORE007,2026-04-23,2,20611.71
ORD0014215,CUST01081,PROD00273,STORE009,2026-04-23,6,18466.93
ORD0013871,CUST01444,PROD00048,STORE007,2026-04-23,3,9303.53
ORD0014281,CUST00480,PROD00199,STORE010,2026-04-23,3,8529.3
ORD0013079,CUST00615,PROD00075,STORE002,2026-04-23,5,13439.57
ORD0014045,CUST00097,PROD00266,STORE011,2026-04-18,1,abc
ORD0014119,CUST01199,PROD00182,STORE009,2026-13-40,2,9090.84
ORD0013478,CUST01097,PROD00227,STORE006,2026-04-23,2,13470.41
ORD0013964,CUST01164,PROD00123,STORE022,2026-04-23,1,22845.79
