product_id,product_name,category,unit_price,change_date
PROD00119,Cricket Bat,Sports,8890.12,2026-04-25
PROD00025,Cotton T-Shirt,Apparel,10965.04,2026-04-25
PROD00152,Bluetooth Speaker,Electronics,24536.33,2026-04-25
PROD00113,Denim Jacket,Apparel,3259.03,2026-04-25
PROD00062,Children's Storybook,Books,18594.63,2026-04-25
PROD00239,Children's Storybook,Books,21360.7,2026-04-25
PROD00268,Graphic Novel,Books,3399.54,2026-04-25
PROD00222,Smartwatch,Electronics,3129.62,2026-04-25
PROD00080,Bluetooth Speaker,Electronics,23810.94,2026-04-25
PROD00007,Smartwatch,Electronics,7670.4,2026-04-25
PROD00219,Denim Jacket,Apparel,967.1,2026-04-25
PROD00194,Children's Storybook,Books,2036.18,2026-04-25
PROD00056,Wireless Mouse,Electronics,690.0,2026-04-25
PROD00086,Cotton T-Shirt,Apparel,6431.58,2026-04-25
PROD00198,Smartwatch,Electronics,15190.87,2026-04-25
PROD00285,Rain Jacket,Apparel,8266.38,2026-04-25
PROD00055,Rain Jacket,Apparel,15282.77,2026-04-25
PROD00043,Denim Jacket,Apparel,23118.95,2026-04-25
PROD00100,Non-stick Pan,Home & Kitchen,16670.04,2026-04-25
PROD00249,Self-Help Guide,Books,582.5,2026-04-25
PROD00217,Air Fryer,Home & Kitchen,8810.09,2026-04-25
PROD00237,Fiction Novel,Books,7753.45,2026-04-25
PROD00121,Smartwatch,Electronics,5957.45,2026-04-25
PROD00061,Smartwatch,Electronics,5454.43,2026-04-25
PROD00228,Non-stick Pan,Home & Kitchen,17826.51,2026-04-25
PROD00101,Children's Storybook,Books,19914.17,2026-04-25
PROD00160,Cycling Helmet,Sports,3407.86,2026-04-25
PROD00175,Vacuum Cleaner,Home & Kitchen,17090.9,2026-04-25
PROD00019,Smartwatch,Electronics,15881.81,2026-04-25
PROD00253,Non-stick Pan,Home & Kitchen,24908.89,2026-04-25
PROD00186,Running Shoes,Apparel,22504.55,2026-04-25
PROD00130,Football,Sports,7098.98,2026-04-25
PROD00231,Dumbbell Set,Sports,14812.57,2026-04-25
PROD00224,Running Shoes,Apparel,2179.92,2026-04-25
PROD00288,Air Fryer,Home & Kitchen,4069.5,2026-04-25
PROD00169,Bedsheet Set,Home & Kitchen,10521.27,2026-04-25
PROD00295,Coffee Maker,Home & Kitchen,22469.62,2026-04-25
PROD00009,Cookbook,Books,23345.85,2026-04-25
PROD00053,Self-Help Guide,Books,3382.93,2026-04-25
PROD00144,Smartwatch,Electronics,19239.07,2026-04-25
