order_id,customer_id,product_id,store_id,order_date,quantity,unit_price,coupon_code
ORD0019668,CUST00853,PROD00025,STORE025,2026-04-26,6,11086.77,
ORD0019970,CUST01140,PROD00261,STORE001,2026-04-26,6,10110.67,
ORD0018913,CUST00054,PROD00161,STORE018,2026-04-26,1,2996.2,
ORD0019960,CUST00825,PROD00299,STORE022,2026-04-26,6,3515.38,FEST50
ORD0019047,CUST00581,PROD00204,STORE003,2026-04-26,4,16796.33,FEST50
ORD0018617,CUST01434,PROD00199,STORE016,2026-04-26,4,16736.66,
ORD0019092,CUST01203,PROD00099,STORE014,2026-04-26,2,15928.33,FEST50
ORD0019044,CUST00348,PROD00100,STORE006,2026-04-26,1,15001.0,SAVE10
ORD0020226,CUST00201,PROD00004,STORE011,2026-04-26,3,14638.12,
ORD0020293,CUST01468,PROD00050,STORE014,2026-04-26,1,16062.17,WELCOME5
ORD0018573,CUST01031,PROD00062,STORE022,2026-04-26,4,23362.15,
ORD0019196,CUST00587,PROD00089,STORE022,2026-04-26,5,9259.68,
ORD0020106,CUST00874,PROD00072,STORE013,2026-04-26,5,22870.76,FEST50
ORD0019759,CUST01009,PROD00128,STORE024,2026-04-26,5,13486.74,
ORD0020369,CUST00653,PROD00194,STORE009,2026-04-26,1,3302.36,
ORD0020263,CUST00737,PROD00251,STORE010,2026-04-26,5,23702.47,SAVE10
ORD0020277,CUST01474,PROD00146,STORE015,2026-04-26,4,6349.5,
ORD0020140,CUST00540,PROD00208,STORE019,2026-04-26,2,9447.34,
ORD0019929,CUST00687,PROD00288,STORE009,2026-04-26,3,16536.44,
ORD0018792,CUST00412,PROD00040,STORE005,2026-04-26,3,21363.69,
ORD0020088,CUST01222,PROD00217,STORE015,2026-04-26,1,21892.91,FEST50
ORD0018661,CUST01284,PROD00164,STORE016,2026-04-26,2,3269.93,
ORD0018829,CUST00399,PROD00218,STORE001,2026-04-26,6,9456.71,
ORD0020414,CUST00998,PROD00108,STORE012,2026-04-26,2,5213.63,SAVE10
ORD0019048,CUST00663,PROD00274,STORE009,2026-04-26,2,16747.86,FEST50
ORD0020192,CUST01150,PROD00027,STORE008,2026-04-26,1,3145.87,
ORD0018899,CUST00969,PROD00165,STORE001,2026-04-26,3,15260.19,
ORD0019961,CUST00947,PROD00249,STORE017,2026-04-21,6,17679.77,
ORD0019683,CUST00988,PROD00022,STORE004,2026-04-26,4,6367.51,
ORD0018664,CUST00055,PROD00201,STORE010,2026-04-26,1,1442.47,FEST50
ORD0019959,CUST00716,PROD00094,STORE021,2026-04-26,2,22010.26,
ORD0019367,CUST00165,PROD00212,STORE020,2026-04-18,3,8254.6,WELCOME5
ORD0020128,CUST01382,PROD00108,STORE012,2026-04-26,4,20820.4,SAVE10
ORD0019156,CUST00786,PROD00023,STORE003,2026-04-26,6,19230.15,
ORD0018584,CUST00415,PROD00056,STORE008,2026-04-26,6,6527.78,
ORD0019898,CUST00710,PROD00086,STORE017,2026-04-26,6,15776.71,
ORD0019056,CUST00133,PROD00016,STORE012,2026-04-26,5,3977.16,WELCOME5
ORD0018794,CUST01408,PROD00242,STORE006,2026-04-26,6,9242.05,
ORD0020304,CUST00807,PROD00004,STORE008,2026-04-26,2,7062.84,
ORD0019589,CUST00795,PROD00160,STORE013,2026-04-26,4,20871.81,WELCOME5
ORD0020444,CUST00593,PROD00275,STORE014,2026-04-26,2,16839.22,
ORD0018812,CUST00762,PROD00030,STORE010,2026-04-26,6,3541.77,SAVE10
