item_id,order_id,product_id,quantity,unit_price,discount_percent
1,57,30,4,3741.13,50
2,88,73,3,2077.65,5
3,1154,112,5,7353.49,5
4,577,125,5,8546.86,0
5,225,54,3,4091.01,0
6,577,74,3,1403.92,30
7,1087,2,6,10268.79,10
8,484,142,5,13455.76,15
9,623,117,1,4776.93,20
10,212,63,3,669.36,0
11,190,139,6,9456.56,10
12,624,44,6,9287.86,30
13,381,110,1,702.11,15
14,1128,43,6,10660.81,15
15,734,79,2,2833.1,0
16,1191,89,2,8761.16,0
17,864,101,6,5242.2,25
18,576,103,1,11238.02,0
19,261,59,6,13075.03,0
20,196,101,2,12896.58,15
21,264,35,2,521.03,15
22,114,85,2,8958.64,30
23,651,129,5,3415.23,20
24,881,139,3,13027.76,0
25,515,135,4,12876.01,0
26,177,86,4,3629.16,25
27,1178,74,1,3426.37,20
28,1167,65,-6,8986.19,20
29,152,36,3,2853.59,50
30,486,122,3,11165.52,0
31,1102,63,4,10005.24,50
32,1191,24,2,8130.36,20
33,893,69,2,9067.22,25
34,294,94,1,3388.83,0
35,961,74,6,12981.87,0
36,408,29,6,902.35,20
37,998,146,-5,337.36,50
38,334,122,4,7657.69,10
39,40,143,1,7406.81,25
40,789,6,3,5481.95,20
41,197,100,2,14032.17,20
42,1008,77,5,261.7,15
43,911,39,4,7509.67,30
44,540,133,5,8890.26,5
45,1161,13,6,13413.25,30
46,459,29,4,4215.62,25
47,472,115,4,12425.93,0
48,345,17,2,10916.45,0
49,284,50,3,13002.0,50
50,1160,130,1,2342.28,20
51,1135,61,2,10716.57,25
52,244,87,3,9268.61,0
53,498,76,6,11146.81,25
54,943,18,3,2486.92,5
55,334,33,3,1902.53,15
56,463,35,1,13688.01,5
57,741,17,4,3300.77,30
58,75,83,6,6127.69,0
59,47,114,3,2183.65,50
60,163,135,3,4432.63,20
61,1046,13,4,11756.42,30
62,239,35,4,14942.23,15
63,935,25,1,6110.57,30
64,1176,1,3,14962.4,0
65,1162,125,6,2066.58,0
66,48,108,2,6929.51,0
67,228,146,2,14892.51,0
68,351,38,2,4956.41,20
69,898,73,1,7410.07,25
70,1133,83,2,8747.15,0
71,159,145,6,6452.56,0
72,436,121,6,6979.09,5
73,1172,79,6,8193.73,10
74,167,22,6,14298.68,0
75,375,42,6,6816.73,0
76,766,129,1,10860.15,30
77,395,64,2,14363.2,5
78,247,80,3,10261.33,50
79,744,104,4,11537.77,25
80,151,147,3,8669.86,20
81,462,22,6,6087.39,50
82,938,78,4,6542.5,10
83,1144,58,3,5342.94,25
84,697,10,3,909.98,10
85,68,27,4,5281.07,50
86,910,3,2,1578.03,0
87,403,24,5,5946.27,0
88,999,11,5,9096.53,25
89,1046,78,5,14901.65,0
90,686,46,4,6094.05,15
91,507,8,1,811.82,50
92,487,95,1,13251.16,15
93,1040,39,4,629.68,30
94,604,110,2,3620.69,0
95,403,79,5,10773.33,50
96,352,41,5,4918.93,30
97,1073,115,3,12148.96,30
98,779,6,5,3116.68,25
99,306,116,4,2545.71,0
100,102,148,5,2558.36,0
101,926,53,6,1569.15,25
102,441,51,4,10938.14,50
103,132,132,5,13639.45,0
104,135,80,2,9955.39,5
105,365,21,-5,3174.64,20
106,10,124,3,12458.16,0
107,427,70,3,3874.48,30
108,1059,126,2,4436.17,0
109,1084,105,5,303.98,5
110,921,7,4,999.47,15
111,1063,129,5,6603.63,5
112,108,58,4,3324.06,5
113,741,58,3,11297.95,0
114,1002,95,5,1045.07,15
115,96,92,2,13989.81,0
116,782,17,2,3390.52,0
117,892,105,1,10040.63,30
118,1177,76,1,14845.65,20
119,242,34,1,6003.57,5
120,600,14,3,12224.15,20
121,457,29,2,13296.58,20
122,215,68,4,11000.72,30
123,281,140,1,13618.73,15
124,658,8,1,13337.87,0
125,86,126,1,5304.88,10
126,530,23,5,5351.42,0
127,555,106,5,1613.56,5
128,121,24,1,14622.13,50
129,142,141,3,3851.63,5
130,641,128,6,5771.31,10
131,565,85,6,7011.96,0
132,1177,51,2,11375.43,50
133,774,130,6,9200.56,15
134,1126,4,1,13362.73,0
135,702,47,2,4084.68,0
136,546,102,4,8788.29,0
137,250,135,4,9095.82,0
138,750,7,6,3979.6,20
139,1077,48,2,4053.77,0
140,880,7,3,4720.29,0
141,570,18,2,8696.88,50
142,101,29,1,10849.6,0
143,911,111,4,12974.32,10
144,515,1,1,2874.04,0
145,1192,143,3,2600.88,0
146,37,11,2,878.04,5
147,402,3,6,9428.18,0
148,979,2,3,3563.4,30
149,327,63,4,1094.14,0
150,17,68,2,3167.53,0
151,669,135,2,12538.61,50
152,484,104,5,2240.84,0
153,253,97,1,11171.94,5
154,516,47,-6,12773.67,0
155,1007,138,2,2941.11,30
156,226,145,6,8561.18,20
157,573,132,3,13393.28,10
158,466,113,1,2085.66,0
159,525,82,6,2167.93,0
160,777,24,6,5322.87,30
161,152,91,4,9480.94,20
162,871,103,3,4061.34,5
163,128,58,4,8655.2,0
164,973,65,5,3718.57,0
165,52,18,1,8848.29,25
166,459,71,6,13948.97,20
167,154,65,6,4708.5,50
168,84,13,1,12248.24,50
169,456,90,6,14625.36,50
170,94,145,5,4016.27,0
171,751,77,6,10334.36,0
172,70,134,2,6413.96,0
173,898,63,3,11453.67,10
174,755,109,3,5594.78,50
175,471,84,6,12454.67,10
176,612,136,5,752.03,20
177,203,85,5,8321.6,30
178,604,96,1,11874.25,15
179,1002,30,3,11963.85,30
180,994,109,5,2181.81,5
181,285,127,2,11145.36,50
182,922,36,6,5975.59,0
183,1080,136,2,8145.21,15
184,888,30,2,14924.03,50
185,864,122,3,13549.55,0
186,441,13,-4,8215.02,25
187,745,122,6,13421.31,5
188,68,136,2,3639.61,0
189,55,89,5,8098.57,5
190,915,122,3,4381.63,0
191,659,39,6,7077.66,0
192,714,7,1,7195.63,30
193,1177,105,2,5629.25,25
194,1113,33,1,6888.63,0
195,85,18,3,8051.58,0
196,427,78,4,13797.36,50
197,189,31,2,6917.68,10
198,243,79,2,14967.09,20
199,437,79,1,13643.22,50
200,1059,77,5,13519.11,50
201,79,38,5,9585.33,0
202,43,135,6,8175.1,20
203,991,126,5,3561.16,10
204,921,110,3,4748.35,15
205,757,78,3,6799.91,25
206,1148,76,5,5999.67,0
207,1019,106,1,6565.27,0
208,963,12,6,14397.99,25
209,484,140,5,10737.8,10
210,1023,103,3,1604.52,50
211,865,105,1,11189.63,0
212,685,84,1,9511.6,0
213,840,2,3,4460.03,30
214,868,142,2,7348.92,50
215,735,89,3,3768.08,25
216,772,72,2,12587.72,10
217,505,89,5,10142.85,30
218,366,41,6,8273.55,15
219,992,43,1,12503.72,15
220,1199,10,4,11463.1,30
221,36,103,6,12025.4,0
222,773,8,1,12465.25,20
223,46,144,4,910.31,15
224,761,24,5,11983.52,0
225,629,147,5,4739.12,0
226,625,24,1,171.32,0
227,862,91,3,13848.09,25
228,654,123,2,7615.18,5
229,333,63,3,8567.49,0
230,843,80,2,3372.92,25
231,1094,99,2,5340.83,0
232,70,70,6,11771.6,20
233,765,21,5,8353.96,0
234,238,61,4,4962.38,30
235,552,46,5,6964.93,15
236,331,17,1,5196.14,0
237,1005,124,2,9049.03,0
238,881,21,6,10755.84,0
239,800,104,1,13048.11,50
240,823,115,4,8112.09,0
241,558,73,5,12003.14,10
242,564,115,3,51.28,10
243,40,131,3,10061.15,20
244,193,95,3,244.27,10
245,536,28,1,13289.71,5
246,109,133,2,3515.42,0
247,696,12,3,3358.59,0
248,317,141,2,11284.86,25
249,1038,107,4,4229.09,0
250,39,3,2,2299.9,5
251,95,30,4,9006.2,0
252,286,76,2,5454.23,30
253,712,81,2,897.15,10
254,562,5,6,9947.72,10
255,420,28,2,11416.23,0
256,369,117,1,6308.45,30
257,950,94,3,6013.3,30
258,258,61,3,12184.84,10
259,1115,24,1,14631.03,50
260,766,6,4,7609.7,30
261,1015,83,3,9353.36,50
262,714,142,2,8635.17,0
263,875,90,3,8366.49,0
264,1036,41,2,1525.12,25
265,393,89,1,12624.76,10
266,7,55,4,11891.63,0
267,88,111,4,9965.52,50
268,178,65,2,5412.1,25
269,705,16,1,10954.31,15
270,74,6,5,5999.16,25
271,291,5,5,11141.52,25
272,8,101,3,3240.99,0
273,748,1,4,1311.07,0
274,292,145,5,497.6,0
275,725,3,1,3462.62,0
276,92,40,2,9345.37,10
277,145,114,4,4742.42,50
278,139,91,5,7857.7,25
279,1012,27,2,13584.47,20
280,822,77,1,13167.62,30
281,34,144,1,8948.88,15
282,754,31,3,1881.97,10
283,1015,112,4,2955.07,30
284,540,37,5,2880.72,0
285,941,47,4,8461.21,15
286,544,15,6,4000.01,15
287,1201,72,1,13679.14,0
288,809,141,5,13337.45,25
289,15,69,3,896.13,25
290,1153,7,4,11925.34,20
291,1134,89,4,3586.61,0
292,1170,86,3,8685.25,25
293,210,74,6,3676.64,0
294,952,82,6,10469.68,0
295,247,141,6,13105.94,10
296,426,126,5,2162.89,50
297,1179,66,4,6478.67,15
298,1115,11,1,3170.91,25
299,971,112,2,3314.91,30
300,676,140,3,7856.24,20
301,849,24,2,8424.07,10
302,865,138,5,3772.19,50
303,1076,124,2,5729.09,0
304,528,5,6,12748.64,30
305,878,32,1,3974.36,50
306,809,31,1,937.34,0
307,537,110,1,3193.48,30
308,223,120,5,6990.61,5
309,971,23,5,12840.3,0
310,278,43,5,7134.36,15
311,383,76,2,13675.92,0
312,848,131,3,2314.43,0
313,1115,142,4,4216.58,0
314,103,69,1,3478.59,0
315,1187,99,6,3760.6,15
316,730,24,3,12108.7,30
317,192,47,2,1322.66,50
318,736,89,2,10306.07,15
319,502,84,1,5385.37,5
320,678,116,6,4165.72,0
321,670,41,5,6829.29,30
322,814,60,4,8469.14,10
323,1043,117,3,11328.26,15
324,963,10,1,3186.89,10
325,899,1,2,6630.12,0
326,220,88,3,12967.62,0
327,1012,15,5,5575.43,50
328,1184,4,4,12153.29,50
329,549,130,2,11753.28,0
330,337,15,3,13251.46,15
331,439,104,4,4332.69,50
332,856,36,3,3307.43,30
333,392,80,2,1490.72,25
334,1049,57,6,6100.31,25
335,1024,57,4,9577.96,25
336,52,59,4,11607.98,0
337,699,125,5,1492.73,15
338,866,147,6,9411.55,5
339,348,41,-1,13462.97,0
340,879,60,3,10173.66,10
341,734,114,1,4134.3,0
342,431,147,6,2388.0,20
343,729,53,5,9370.26,50
344,968,70,4,10935.6,30
345,961,123,1,618.57,20
346,512,139,3,5949.29,50
347,165,86,5,13087.0,50
348,284,122,1,14698.35,20
349,219,98,3,8028.88,10
350,1129,20,1,10733.08,10
351,984,119,3,14600.78,30
352,134,117,3,3403.52,5
353,612,12,1,12881.81,30
354,976,72,5,11917.58,5
355,940,102,2,9896.2,5
356,562,15,5,12954.62,25
357,442,53,1,3330.92,10
358,1051,148,5,13774.87,5
359,670,55,3,7265.33,30
360,682,13,5,8043.38,0
361,616,31,1,12182.33,25
362,35,86,6,4781.38,0
363,1084,4,1,4628.65,50
364,1190,102,2,725.26,50
365,306,32,4,832.38,20
366,797,122,-5,5141.91,15
367,455,74,1,1914.19,50
368,921,61,6,3788.13,25
369,946,23,2,567.38,25
370,64,42,3,13958.11,50
371,1212,37,3,2652.93,10
372,81,131,1,10719.28,25
373,1014,57,5,4023.02,25
374,111,28,4,9074.57,15
375,171,4,1,7308.95,50
376,577,123,2,414.97,10
377,518,92,2,8643.74,0
378,521,86,4,5032.19,5
379,863,107,4,6686.2,20
380,182,99,4,11928.95,50
381,271,127,-3,9737.66,20
382,108,149,3,2817.42,25
383,348,66,6,2952.61,0
384,1084,126,4,13369.11,10
385,669,9,6,8505.97,50
386,684,145,-1,6947.85,50
387,1059,103,1,12198.38,20
388,755,68,5,1962.35,30
389,1006,32,4,2988.36,20
390,1106,29,5,13918.68,0
391,239,24,2,2825.6,50
392,502,18,6,878.56,20
393,253,95,3,5711.93,30
394,470,144,3,9815.36,15
395,1173,1,3,3655.95,5
396,1175,20,2,1313.82,0
397,284,83,4,9270.3,50
398,611,67,2,427.99,20
