product_id,product_name,category,subcategory,cost_price
1,Power Bank Classic,Home,Furniture,12226.09
2,Cotton T-Shirt,Home,Furniture,76.88
3,Smartphone Lite,Books,Children,9055.71
4,Bluetooth Speaker Plus,Clothing,Winterwear,2152.62
5,Non-Stick Pan Lite,Clothing,Kids,9560.99
6,Wireless Earbuds Max,Home,Bedding,3184.78
7,Bluetooth Speaker,Home,Decor,69.15
8,Bedsheet Set Plus,Books,Non-Fiction,13232.47
9,Mystery Novel Classic,Books,Fiction,9781.99
10,Laptop Bag Pro,Clothing,Footwear,4458.88
11,Non-Stick Pan Lite,Electronics,Mobiles,13324.57
12,Laptop Bag Max,Electronics,Cameras,8930.76
13,Bedsheet Set,Books,Fiction,2516.71
14,Bluetooth Speaker Max,Clothing,Men,3122.98
15,Kids Hoodie Lite,Home,Decor,1483.94
16,  Smartphone Max  ,Books,Non-Fiction,107.04
17,Wireless Earbuds Lite,Clothing,Men,2603.94
18,Bluetooth Speaker Max,Electronics,Accessories,11783.9
19,USB Cable Classic,Home,Kitchen,5843.53
20,Cotton T-Shirt Plus,Books,Academic,717.02
21,Winter Jacket Classic,Home,Furniture,971.51
22,Power Bank Max,Electronics,Mobiles,12132.29
23,Smartphone Plus,Clothing,Winterwear,12285.16
24,Running Shoes Plus,Books,Children,4517.84
25,Kids Storybook Classic,Electronics,Cameras,12016.73
26,Coffee Mug Plus,Clothing,Men,2634.54
27,Smart Watch Pro,Clothing,Women,6379.45
28,USB Cable Lite,Books,Non-Fiction,12519.92
29,Wall Clock Classic,Electronics,Mobiles,5990.46
30,Vacuum Cleaner Pro,Home,Cleaning,11808.93
31,Bedsheet Set Lite,Books,Fiction,2265.59
32,Kids Storybook Pro,Electronics,Mobiles,11796.9
33,Winter Jacket Plus,Home,Bedding,9839.08
34,Cotton T-Shirt Max,Books,Fiction,6074.46
35,  Wall Clock Max  ,Books,Fiction,10373.18
36,Wireless Earbuds Max,Home,Decor,12269.92
37,Desk Lamp,Home,Bedding,1518.35
38,Yoga Mat Plus,Clothing,Kids,11621.76
39,USB Cable Pro,Books,Children,2859.64
40,Coffee Mug Classic,Books,Comics,13014.48
41,KIDS HOODIE,Clothing,Men,7626.59
42,Denim Jeans Pro,Clothing,Women,3779.88
43,Winter Jacket Max,Home,Furniture,12361.42
44,Running Shoes Max,Electronics,Mobiles,7357.36
45,Comic Bundle Max,Books,Children,5196.52
46,Kids Hoodie Pro,Home,Kitchen,5829.16
47,USB Cable Lite,Clothing,Women,10181.54
48,Wireless Earbuds,Books,Children,183.02
49,Wireless Earbuds Lite,Clothing,Winterwear,3823.24
50,Bedsheet Set Plus,Home,Decor,12781.21
51,Kids Hoodie,Clothing,Footwear,7833.54
52,Cook Book,Electronics,Mobiles,14498.96
53,Power Bank Pro,Home,Decor,7251.99
54,Winter Jacket Max,Home,Decor,9858.99
55,Smart Watch Classic,Home,Furniture,11493.84
56,Power Bank Lite,Books,Academic,10833.18
57,bedsheet set plus,Home,Decor,5854.71
58,Power Bank Classic,Home,Furniture,9592.79
59,Kids Hoodie Lite,Home,Cleaning,12617.55
60,Bluetooth Speaker Plus,Clothing,Kids,1962.76
61,USB Cable Pro,Clothing,Kids,3372.69
62,Non-Stick Pan Max,Home,Bedding,3945.36
63,Smartphone,Electronics,Accessories,8774.44
64,Denim Jeans Classic,Electronics,Accessories,1841.25
65,Smartphone Lite,Home,Bedding,2103.61
66,Vacuum Cleaner Lite,Books,Children,4779.93
67,Non-Stick Pan,Electronics,Accessories,14800.27
68,Vacuum Cleaner Max,Electronics,Mobiles,3180.27
69,Coffee Mug Pro,Clothing,Footwear,1984.62
70,bedsheet set plus,Books,Comics,5780.58
71,Non-Stick Pan Classic,Home,Kitchen,2899.12
72,Desk  Lamp  Max,Clothing,Women,4715.78
73,Smartphone Max,Clothing,Men,14229.53
74,Power Bank Lite,Home,Bedding,5173.86
75,Cotton T-Shirt Plus,Home,Furniture,335.91
76,Yoga Mat Pro,Clothing,Women,8865.91
77,Wall Clock,Home,Kitchen,3874.05
78,Smartphone,Electronics,Cameras,1666.3
79,Bedsheet Set Plus,Electronics,Mobiles,5734.79
80,  Denim Jeans  ,Books,Non-Fiction,10301.81
81,WINTER JACKET CLASSIC,Electronics,Cameras,9104.23
82,Bluetooth Speaker Pro,Electronics,Audio,7491.2
83,Denim Jeans Max,Home,Cleaning,10566.38
84,Mystery Novel Lite,Electronics,Cameras,10338.65
85,  Wireless Earbuds  ,Clothing,Men,1380.59
86,Coffee Mug Classic,Clothing,Men,1171.97
87,vacuum cleaner max,Home,Furniture,3998.67
88,Wooden Chair,Electronics,Audio,4724.97
89,Wireless Earbuds Lite,Electronics,Mobiles,9967.16
90,History  Textbook  Max,Home,Bedding,13183.21
91,Wall Clock Plus,Clothing,Men,14436.53
92,Bedsheet Set,Books,Comics,13297.55
93,Cotton T-Shirt Pro,Clothing,Men,6269.61
94,History Textbook Plus,Books,Non-Fiction,11698.51
95,Mystery Novel Pro,Clothing,Footwear,13319.53
96,USB Cable Max,Electronics,Audio,234.79
97,Cook Book Classic,Clothing,Kids,10339.21
98,Mystery Novel Max,Books,Non-Fiction,9972.47
99,History Textbook Pro,Clothing,Winterwear,224.09
100,Cotton T-Shirt Pro,Books,Comics,11283.88
101,Smartphone Classic,Home,Decor,3379.46
102,Laptop Bag Plus,Books,Non-Fiction,6690.62
103,Vacuum Cleaner Max,Electronics,Accessories,1824.67
